game_id,player_id,team_id,best_of,curr_game,champion_id,side,role,opp_player_id,opp_team_id,opp_champion_id,result,kills,deaths,assists,double_kills,triple_kills,quad_kills,penta_kills,first_blood,avg_mins_between_kills,avg_mins_between_deaths,solo_kills,iso_deaths,minion_kills,neutral_minion_kills,neutral_minion_kills_team_jungle,neutral_minion_kills_enemy_jungle,perc_in_mid_lane,num_recalls,total_damage_teamfights,avg_damage_per_teamfight,dmg_to_champs_per_min,dmg_shielded_on_team_per_min,dmg_healed_on_team_per_min,total_gold,gold_at_15m,gold_diff_at_15m,wards_placed,wards_killed,vision_score,jungle_prox,duo_prox
1fc422b8-3c88-43a3-bce6-0d156231553f,76015e0d-dee2-425b-a1f3-82436a8d6db7,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,1,1,a9646039-cc30-4d46-a824-ef50558365fd,blue,top,e9e4cc7b-9073-400a-9705-7a388fbe2f7e,81f49a78-8be8-4832-bfc2-c9f40b0fd468,f2e2e2e6-5b79-47ae-bf8a-ea7780d0ce48,1,2,2,3,1,0,0,0,0,0.09216666667,5.178566667,0,2,267,11.5,1.5,5.5,0.02301876672,8,1124.787109,74.98580729,261.0508644,0,0,12942,4867,-223,14,7,34.22916412,0.03695972222,NULL
1fc422b8-3c88-43a3-bce6-0d156231553f,f7c76c2e-ebdf-4f83-84bb-e2ca8e97e243,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,1,1,45cb59d9-c33d-434f-a05a-e598c700b495,blue,jng,b2c4d524-cec6-4f9d-8858-914c5c03e3cc,81f49a78-8be8-4832-bfc2-c9f40b0fd468,a2a00cfd-f292-4674-962b-2f98e9d7cccb,1,1,0,11,0,0,0,0,0,NULL,NULL,0,0,36,187.7499695,119.5000381,12,0.1083388418,11,969.1472168,64.60981445,158.7376914,0,0,11827,4791,-211,11,12,49.79997253,0.3369555556,NULL
1fc422b8-3c88-43a3-bce6-0d156231553f,144674be-6575-415b-bdf1-71cb2f907c9f,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,1,1,fe2d0d4c-a75b-4c67-8e62-0dfa49b26688,blue,mid,93035ebd-ac88-4a28-8c50-cbde4d9866dd,81f49a78-8be8-4832-bfc2-c9f40b0fd468,817531bf-38ca-45d7-9d86-5d0aa8031edf,1,3,3,7,0,0,0,0,0,5.682925,6.6685,0,3,298,36,16,13.5,0.3062541706,13,3296.411133,219.7607422,338.3051998,0,0,14938,6241,642,7,5,27.95347404,0.1407958333,NULL
1fc422b8-3c88-43a3-bce6-0d156231553f,b0e35a14-396b-4f90-bb26-213a8599c7d2,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,1,1,6c9c7b4a-0947-4b6c-8cff-cf318ac75f10,blue,bot,259f6984-2cdb-410d-99f8-1749a2c8b8c4,81f49a78-8be8-4832-bfc2-c9f40b0fd468,e0643781-6fc2-4223-b78b-a67f6f46b51b,1,7,1,4,1,1,1,1,0,2.805094444,NULL,0,0,346,36.25000381,23.99999619,8,0.2040110075,11,3528.904297,235.2602865,539.4960347,0,19.05738341,17876,6073,1449,13,19,52.674263,0.08809027778,NULL
1fc422b8-3c88-43a3-bce6-0d156231553f,ef0262f2-059f-4514-80f7-70c1a33ad932,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,1,1,324946d4-5e01-47c2-ae84-bffe1bb4f2cf,blue,sup,25b95d8a-3363-4940-8437-ca402f65f022,81f49a78-8be8-4832-bfc2-c9f40b0fd468,481aaf56-4794-4988-b6b7-cbdf5944fa7f,1,0,1,11,0,0,0,0,0,NULL,NULL,0,0,52,0,0,0,0.1314774901,15,493.3079834,32.88719889,79.05451199,7.273912082,5.027390069,7761,3384,-96,58,25,131.6039124,0.2019194444,0.2844013889
1fc422b8-3c88-43a3-bce6-0d156231553f,e9e4cc7b-9073-400a-9705-7a388fbe2f7e,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,f2e2e2e6-5b79-47ae-bf8a-ea7780d0ce48,red,top,76015e0d-dee2-425b-a1f3-82436a8d6db7,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,a9646039-cc30-4d46-a824-ef50558365fd,0,2,3,1,0,0,0,0,0,15.13801667,8.415283333,0,0,307,36,32,1.5,0.03253376844,9,8582.105957,572.1403971,643.9520092,0,0,13699,5090,223,15,4,21.66841316,0.1123708333,NULL
1fc422b8-3c88-43a3-bce6-0d156231553f,b2c4d524-cec6-4f9d-8858-914c5c03e3cc,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,a2a00cfd-f292-4674-962b-2f98e9d7cccb,red,jng,f7c76c2e-ebdf-4f83-84bb-e2ca8e97e243,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,45cb59d9-c33d-434f-a05a-e598c700b495,0,0,3,5,0,0,0,0,0,NULL,8.270091667,0,0,32,145.5999451,106.6000443,4,0.08433503583,10,2598.389893,173.2259928,175.5340303,0,0,10124,5002,211,12,10,44.20770645,0.4678319444,NULL
1fc422b8-3c88-43a3-bce6-0d156231553f,93035ebd-ac88-4a28-8c50-cbde4d9866dd,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,817531bf-38ca-45d7-9d86-5d0aa8031edf,red,mid,144674be-6575-415b-bdf1-71cb2f907c9f,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,fe2d0d4c-a75b-4c67-8e62-0dfa49b26688,0,4,1,0,0,0,0,0,0,5.640116667,NULL,1,0,302,10,3.500000238,4,0.4035601647,12,9829.414551,655.2943034,732.2750522,0,0,13740,5599,-642,18,11,51.15767288,0.2246861111,NULL
1fc422b8-3c88-43a3-bce6-0d156231553f,259f6984-2cdb-410d-99f8-1749a2c8b8c4,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,e0643781-6fc2-4223-b78b-a67f6f46b51b,red,bot,b0e35a14-396b-4f90-bb26-213a8599c7d2,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,6c9c7b4a-0947-4b6c-8cff-cf318ac75f10,0,0,3,2,0,0,0,0,0,NULL,9.282341667,0,0,239,8.399999619,4.400000095,4,0.2573694708,9,686.6047363,45.77364909,261.4785937,11.81853144,80.4472435,11197,4624,-1449,16,5,32.25700378,0.1080277778,NULL
1fc422b8-3c88-43a3-bce6-0d156231553f,25b95d8a-3363-4940-8437-ca402f65f022,81f49a78-8be8-4832-bfc2-c9f40b0fd468,1,1,481aaf56-4794-4988-b6b7-cbdf5944fa7f,red,sup,ef0262f2-059f-4514-80f7-70c1a33ad932,75ed2159-43cc-4b03-bdf0-823d0ec7e0c0,324946d4-5e01-47c2-ae84-bffe1bb4f2cf,0,1,3,2,0,0,0,0,1,NULL,8.185283333,0,0,39,0,0,0,0.1059382664,14,518.1328125,34.5421875,89.87193154,0,3.674067037,7479,3480,96,65,16,99.90427399,0.2574097222,0.3583277778
